id,link,price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,key_rent
0,https://www.cian.ru/sale/flat/303040538/,36852900,6.0,ЦАО,48.3,23.9,5.0,8.0,2028.0,1,0,3.3,1,0.18
1,https://www.cian.ru/sale/flat/305679460/,16739900,17.0,ЮАО,38.93,10.7,3.0,20.0,2024.0,1,0,2.85,1,0.18
2,https://www.cian.ru/sale/flat/303506233/,18055560,8.0,ЮАО,39.7,13.2,8.0,28.0,2026.0,1,0,3.0,1,0.18
3,https://www.cian.ru/sale/flat/305679583/,13984508,17.0,ЮАО,24.93,12.3,6.0,20.0,2024.0,1,0,2.85,1,0.18
4,https://www.cian.ru/sale/flat/303859162/,14837840,24.0,ЗАО,38.6,21.6,6.0,27.0,2027.0,1,0,2.92,1,0.18
5,https://www.cian.ru/sale/flat/305679648/,14917381,17.0,ЮАО,27.73,12.2,13.0,20.0,2024.0,1,0,2.85,1,0.18
6,https://www.cian.ru/sale/flat/296921064/,22374675,4.0,ЗАО,45.0,16.4,2.0,16.0,2024.0,1,0,3.2,1,0.18
7,https://www.cian.ru/sale/flat/303027445/,61800000,9.0,ЦАО,59.0,39.0,3.0,20.0,2023.0,1,0,3.0,1,0.18
8,https://www.cian.ru/sale/flat/299093496/,23930847,7.0,ЮАО,37.7,13.0,18.0,41.0,2024.0,1,0,3.0,1,0.18
9,https://www.cian.ru/sale/flat/303873158/,12990000,21.0,СЗАО,33.5,11.3,5.0,30.0,2025.0,1,0,,1,0.18
10,https://www.cian.ru/sale/flat/305675771/,18348504,7.0,ЮЗАО,39.09,24.0,9.0,35.0,2027.0,1,0,3.4,1,0.18
11,https://www.cian.ru/sale/flat/299019831/,27000000,7.0,ЦАО,44.45,14.7,17.0,51.0,2024.0,1,0,3.1,1,0.18
12,https://www.cian.ru/sale/flat/300288186/,18566135,6.0,САО,38.79,13.1,3.0,49.0,2025.0,1,0,3.0,1,0.18
13,https://www.cian.ru/sale/flat/305679705/,16783638,17.0,ЮАО,42.28,11.1,1.0,20.0,2024.0,1,0,2.85,1,0.18
